Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,Speed,Frequency,Power,Torque,Current,Yaw Pos,Pitch Pos,Drag Force,Side Force,Lift Force,Roll Moment,Pitch Moment,Yaw Moment,Valve Position,cDAQ1Mod2/ai1,cDAQ1Mod2/ai10,cDAQ1Mod2/ai11,cDAQ1Mod2/ai12,cDAQ1Mod2/ai13,N1,N2,S1,S2,RM,AF
Type,USC / SI,Time,fps / m/s,PSI / Pascals,°F / °C,% / %,PSI / Pascals,PSI / Pascals,RPM / RPM,Hertz / Hertz,Horsepower / kW,% / %,Amps / Amperes,Deg / Deg,Deg / Deg,lbf / N,lbf / N,lbf / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,% / %, / , / , / , / , / ,mV / mV,mV / mV,mV / mV,mV / mV,mV / mV,mV / mV
Mult,USC,220307 02:22:18.175954,   50.131248,   14.571860,   70.410515,   55.375117,    0.020020,   -0.000200,  284.728146,   14.241000,    3.352550,    1.040000,   74.000000,    0.000009,    3.998957,   -0.277790,   -0.240015,   -3.941972,   -1.559236,   32.919234,    0.523766,   -1.326240,    1.041239,   -0.000000,   -0.000000,    0.000002,    0.000002,    0.000067,    0.000067,    0.000067,    0.000067,    0.000067,    0.000067
Mult,USC,220307 02:22:18.275954,   50.240784,   14.571860,   70.349851,   55.431206,    0.020110,   -0.000210,  284.964976,   14.253000,    3.084346,    0.570000,   74.000000,    0.000009,    3.998968,   -0.279216,   -0.238496,   -3.932889,   -1.567270,   32.944490,    0.470213,   -1.365023,    1.044796,   -0.000000,    0.000000,    0.000002,   -0.000002,    0.000068,    0.000068,    0.000067,    0.000068,    0.000068,    0.000068
Mult,USC,220307 02:22:18.375954,   50.226079,   14.571860,   70.308361,   55.406829,    0.020100,   -0.000210,  285.261012,   14.265000,    2.816142,    0.170000,   74.000000,    0.000009,    3.998981,   -0.280422,   -0.236531,   -3.947838,   -1.554828,   32.907108,    0.498171,   -1.272707,    1.045055,    0.000000,    0.000000,   -0.000002,   -0.000002,    0.000067,    0.000067,    0.000068,    0.000067,    0.000067,    0.000068
Mult,USC,220307 02:22:18.475954,   50.205137,   14.571890,   70.389267,   55.366153,    0.020080,   -0.000220,  285.379427,   14.271000,    2.682040,   -9.950000,   74.000000,    0.000009,    3.998991,   -0.280990,   -0.226802,   -3.944732,   -1.547541,   32.918784,    0.519735,   -1.279701,    1.047743,   -0.000000,   -0.000000,    0.000002,    0.000001,    0.000068,    0.000068,    0.000067,    0.000067,    0.000067,    0.000068
Mult,USC,220307 02:22:18.575954,   50.251153,   14.571860,   70.311231,   55.382661,    0.020120,   -0.000210,  285.438634,   14.274000,    2.547938,   -9.750000,   74.000000,    0.000009,    3.999004,   -0.279238,   -0.236727,   -3.941641,   -1.535672,   32.956989,    0.548247,   -1.296358,    1.042896,    0.000000,   -0.000000,   -0.000003,   -0.000000,    0.000068,    0.000068,    0.000068,    0.000067,    0.000067,    0.000068
Mult,USC,220307 02:22:18.675954,   50.215962,   14.571840,   70.356661,   55.336770,    0.020090,   -0.000210,  285.497842,   14.274000,    2.547938,   -9.790000,   74.000000,    0.000009,    3.999015,   -0.281707,   -0.242894,   -3.967005,   -1.549531,   33.092374,    0.534535,   -1.211354,    1.046869,   -0.000000,   -0.000000,   -0.000000,    0.000003,    0.000067,    0.000067,    0.000068,    0.000067,    0.000067,    0.000068
Mult,USC,220307 02:22:18.775954,   50.188289,   14.571860,   70.302933,   55.401869,    0.020070,   -0.000210,  285.438634,   14.274000,    2.547938,   -9.720000,   74.000000,    0.000009,    3.999030,   -0.281874,   -0.244197,   -3.970327,   -1.566133,   33.166270,    0.528213,   -1.280082,    1.048265,    0.000000,    0.000000,   -0.000003,   -0.000001,    0.000068,    0.000068,    0.000068,    0.000068,    0.000067,    0.000067
Mult,USC,220307 02:22:31.175942,   50.491265,   14.572290,   70.147826,   55.490066,    0.020320,   -0.000210,  287.925343,   14.400000,    3.218448,    1.300000,   74.000000,    0.000009,    5.999112,   -0.386579,   -0.294327,   -4.806181,   -1.877269,   40.291283,    0.605278,   -0.940256,    1.074387,    0.000000,    0.000000,   -0.000002,   -0.000001,    0.000083,    0.000083,    0.000083,    0.000083,    0.000082,    0.000082
Mult,USC,220307 02:22:31.275942,   50.570690,   14.572250,   70.242940,   55.444640,    0.020380,   -0.000210,  288.102965,   14.406000,    3.218448,    0.880000,   74.000000,    0.000006,    5.999125,   -0.386031,   -0.297804,   -4.808338,   -1.889590,   40.345729,    0.674269,   -0.909421,    1.072990,   -0.000000,   -0.000000,   -0.000000,    0.000003,    0.000083,    0.000082,    0.000083,    0.000082,    0.000083,    0.000083
Mult,USC,220307 02:22:31.375942,   50.813656,   14.572270,   70.154217,   55.499705,    0.020580,   -0.000210,  288.102965,   14.406000,    2.950244,    0.140000,   74.000000,    0.000009,    5.999138,   -0.388950,   -0.300320,   -4.822950,   -1.901710,   40.508497,    0.657450,   -0.928049,    1.076111,    0.000000,   -0.000000,   -0.000001,   -0.000003,    0.000083,    0.000083,    0.000083,    0.000083,    0.000083,    0.000082
Mult,USC,220307 02:22:31.475942,   50.431340,   14.572280,   70.188206,   55.537377,    0.020270,   -0.000210,  288.102965,   14.406000,    2.547938,   -9.650000,   74.000000,    0.000006,    5.999153,   -0.392891,   -0.292917,   -4.845670,   -1.884374,   40.626596,    0.714861,   -0.977259,    1.067945,   -0.000000,    0.000000,    0.000000,   -0.000003,    0.000083,    0.000083,    0.000084,    0.000083,    0.000083,    0.000083
Mult,USC,220307 02:22:31.575942,   50.135066,   14.572220,   70.250735,   55.463430,    0.020030,   -0.000210,  287.984550,   14.397000,    2.279734,   -9.040000,   74.000000,    0.000006,    5.999170,   -0.393937,   -0.302681,   -4.853989,   -1.913498,   40.723139,    0.636488,   -0.943690,    1.071661,   -0.000000,   -0.000000,    0.000002,    0.000002,    0.000083,    0.000083,    0.000083,    0.000083,    0.000083,    0.000083
